Date,Open,High,Low,Close,Adj Close,Volume
2023-12-27,8.819127,8.997459,8.442439,8.703070,8.703070,474271917
2023-12-28,8.703308,8.899014,8.313275,8.450114,8.450114,434449041
2023-12-29,8.450278,8.677586,8.135847,8.292625,8.292625,474260327
2023-12-30,8.292732,8.474199,8.134328,8.370863,8.370863,239200073
2023-12-31,8.369000,8.627559,8.128181,8.193987,8.193987,304720310
2024-01-01,8.201031,8.624625,8.099417,8.598925,8.598925,246624749
2024-01-02,8.599174,8.801247,8.354272,8.412696,8.412696,340575264
2024-01-03,8.412877,8.564529,6.978059,7.641823,7.641823,662847385
2024-01-04,7.641465,7.987429,7.537780,7.881476,7.881476,333627890
2024-01-05,7.881258,7.945946,7.246333,7.445562,7.445562,348229259
2024-01-06,7.445598,7.448601,6.987272,7.138831,7.138831,241045789
2024-01-07,7.139665,7.313965,6.844491,6.895833,6.895833,223805100
2024-01-08,6.896447,7.500977,6.564641,7.477948,7.477948,344729757
2024-01-09,7.478613,7.521773,6.926911,7.117210,7.117210,293447141
2024-01-10,7.118541,8.074016,6.848067,7.971061,7.971061,416263452
2024-01-11,7.973370,8.566725,7.883282,8.170189,8.170189,535315793
2024-01-12,8.166201,8.206327,7.419299,7.569274,7.569274,350427695
2024-01-13,7.567116,7.740000,7.412961,7.612985,7.612985,202570099
2024-01-14,7.613140,7.688433,7.327099,7.327099,7.327099,170845572
2024-01-15,7.325549,7.676067,7.320395,7.517787,7.517787,194678728
2024-01-16,7.515417,7.662617,7.355122,7.490060,7.490060,196373828
2024-01-17,7.488631,7.590975,7.266696,7.332960,7.332960,183863749
2024-01-18,7.335141,7.377194,6.863233,7.007637,7.007637,242668717
2024-01-19,7.007310,7.041850,6.595669,6.874605,6.874605,228284379
2024-01-20,6.875000,6.942979,6.783599,6.898895,6.898895,140211032
2024-01-21,6.900289,6.964543,6.807318,6.807318,6.807318,115667492
2024-01-22,6.808433,6.835377,6.320576,6.332925,6.332925,269918505
2024-01-23,6.332935,6.443181,6.001400,6.354431,6.354431,251031948
2024-01-24,6.354418,6.532093,6.264542,6.459842,6.459842,182514259
2024-01-25,6.459924,6.559728,6.353330,6.434463,6.434463,156401029
2024-01-26,6.433969,6.723201,6.365406,6.672458,6.672458,186488222
2024-01-27,6.672746,6.740088,6.540070,6.670247,6.670247,141355540
2024-01-28,6.670121,6.839127,6.579176,6.839127,6.839127,181489925
2024-01-29,6.846797,7.290434,6.720756,7.030882,7.030882,340006925
2024-01-30,7.030882,7.074926,6.832418,6.841967,6.841967,219740479
2024-01-31,6.840968,6.881529,6.602621,6.655736,6.655736,196604220
2024-02-01,6.655661,6.810061,6.557548,6.791077,6.791077,157887536
2024-02-02,6.790940,7.018485,6.773137,6.936225,6.936225,157571928
2024-02-03,6.936543,6.999075,6.824722,6.831490,6.831490,108609624
2024-02-04,6.831117,6.831117,6.663340,6.667228,6.667228,99743821
2024-02-05,6.666592,6.961444,6.602935,6.726914,6.726914,164799424
2024-02-06,6.726934,6.824391,6.653200,6.805707,6.805707,145904731
2024-02-07,6.805765,6.955844,6.672439,6.939930,6.939930,164416661
2024-02-08,6.940087,7.100994,6.873566,7.014666,7.014666,218444800
2024-02-09,7.015012,7.313177,6.965021,7.191491,7.191491,258789600
2024-02-10,7.192077,7.287111,7.073971,7.208863,7.208863,149811265
2024-02-11,7.208156,7.331011,7.087369,7.096012,7.096012,169782015
2024-02-12,7.096810,7.369921,6.992568,7.346063,7.346063,245642262
2024-02-13,7.344687,7.443852,7.152872,7.362933,7.362933,241793764
2024-02-14,7.361873,7.704767,7.285497,7.658267,7.658267,294559497
2024-02-15,7.657978,7.941685,7.557400,7.778054,7.778054,336231658
2024-02-16,7.780669,7.862548,7.558803,7.657582,7.657582,216737045
2024-02-17,7.657167,7.704354,7.359715,7.704354,7.704354,189701668
2024-02-18,7.704592,7.913236,7.695056,7.850059,7.850059,205287649
2024-02-19,7.850648,8.138372,7.673048,8.029155,8.029155,331476480
2024-02-20,8.028990,8.108119,7.471697,7.733206,7.733206,378987928
2024-02-21,7.732951,7.732951,7.250452,7.468303,7.468303,276903184
2024-02-22,7.469288,7.661428,7.285482,7.482891,7.482891,239367257
2024-02-23,7.482491,7.636072,7.279380,7.563416,7.563416,249643272
2024-02-24,7.563381,7.885220,7.444860,7.809398,7.809398,237375316
2024-02-25,7.809705,7.933513,7.685475,7.923062,7.923062,183729022
2024-02-26,7.922079,8.104343,7.593861,8.104343,8.104343,296502812
2024-02-27,8.105129,8.441613,8.042547,8.371495,8.371495,405624500
2024-02-28,8.370068,8.693132,7.872699,8.342619,8.342619,609235960
2024-02-29,8.343833,8.881213,8.048050,8.255025,8.255025,508493882
2024-03-01,8.252628,8.674409,8.252628,8.674230,8.674230,336431152
2024-03-02,8.674182,9.459188,8.615293,9.436101,9.436101,553392267
2024-03-03,9.440377,9.883533,8.785394,9.797440,9.797440,663668776
2024-03-04,9.792800,10.269759,9.644810,9.911171,9.911171,857188708
2024-03-05,9.896360,10.749071,8.366875,9.330388,9.330388,1345409497
2024-03-06,9.330403,10.557882,8.943415,10.514227,10.514227,783733356
2024-03-07,10.514227,10.989618,10.267990,10.422066,10.422066,585840471
2024-03-08,10.421943,10.710166,10.004077,10.665132,10.665132,609067054
2024-03-09,10.665156,10.965413,10.449006,10.522543,10.522543,449980303
2024-03-10,10.522548,10.574632,9.995623,10.278813,10.278813,388874905
2024-03-11,10.278987,11.238323,9.958825,11.036377,11.036377,733295312
2024-03-12,11.036377,11.142627,10.184982,10.726625,10.726625,566762255
